卡池,名称,等级,初始张数
云灵剑宗,云剑•探云,1,8
云灵剑宗,云剑•飞刺,1,8
云灵剑宗,云剑•厚土,1,8
云灵剑宗,轻剑,1,8
云灵剑宗,护身灵气,1,8
云灵剑宗,灵气灌注,1,8
云灵剑宗,巨虎灵剑,1,8
云灵剑宗,震雷剑,1,8
云灵剑宗,剑劈,1,8
云灵剑宗,剑挡,1,8
云灵剑宗,飞牙剑,1,8
云灵剑宗,骤风剑,1,8
云灵剑宗,云剑•回守,2,8
云灵剑宗,云剑•极意,2,8
云灵剑宗,云剑•无锋,2,8
云灵剑宗,化灵诀,2,8
云灵剑宗,引气剑,2,8
云灵剑宗,巨鲸灵剑,2,8
云灵剑宗,凝意诀,2,8
云灵剑宗,灵犀剑阵,2,8
云灵剑宗,地煞剑,2,8
云灵剑宗,形意剑,2,8
云灵剑宗,狂剑•一式,2,8
云灵剑宗,,,
云灵剑宗,云剑•柔心,3,8
云灵剑宗,云剑•无妄,3,8
云灵剑宗,云剑•点星,3,8
云灵剑宗,云剑•汇灵,3,8
云灵剑宗,云舞诀,3,8
云灵剑宗,暗鸦灵剑,3,8
云灵剑宗,破气剑,3,8
云灵剑宗,巨鹏灵剑,3,8
云灵剑宗,反身剑,3,8
云灵剑宗,镜花剑阵,3,8
云灵剑宗,三峰剑,3,8
云灵剑宗,,,
云灵剑宗,云剑•闪风,4,8
云灵剑宗,云剑•月影,4,8
云灵剑宗,聚灵心法,4,8
云灵剑宗,百鸟灵剑诀,4,8
云灵剑宗,白鹭灵剑,4,8
云灵剑宗,巨鲲灵剑,4,8
云灵剑宗,灵感剑,4,8
云灵剑宗,流云乱剑,4,8
云灵剑宗,水月剑阵,4,8
云灵剑宗,狂剑•二式,4,8
云灵剑宗,,,
云灵剑宗,,,
云灵剑宗,云剑•游龙,5,6
云灵剑宗,云剑•凌波,5,6
云灵剑宗,飞灵闪影剑,5,6
云灵剑宗,万法归灵剑,5,6
云灵剑宗,剑意激荡,5,6
云灵剑宗,御空剑阵,5,6
云灵剑宗,连环剑阵,5,6
云灵剑宗,狂剑•零式,5,6
云灵剑宗,,,
云灵剑宗,,,
云灵剑宗,,,
云灵剑宗,,,
七星阁,斗转星移,1,8
七星阁,星罗棋布,1,8
七星阁,星弈•挡,1,8
七星阁,星弈•夹,1,8
七星阁,震卦,1,8
七星阁,坤卦,1,8
七星阁,巽卦,1,8
七星阁,掌心雷,1,8
七星阁,白鹤亮翅,1,8
七星阁,揽雀尾,1,8
七星阁,野马分鬃,1,8
七星阁,藕断丝连,1,8
七星阁,飞星刺,2,8
七星阁,星弈•点,2,8
七星阁,星弈•立,2,8
七星阁,艮卦,2,8
七星阁,坎卦,2,8
七星阁,落雷术,2,8
七星阁,斩草除根,2,8
七星阁,金鸡独立,2,8
七星阁,静气心法,2,8
七星阁,落花有意,2,8
七星阁,气贯长虹,2,8
七星阁,,,
七星阁,众星拱月,3,8
七星阁,星弈•打,3,8
七星阁,兑卦,3,8
七星阁,白蛇吐信,3,8
七星阁,御雷卦诀,3,8
七星阁,两仪阵,3,8
七星阁,流水无情,3,8
七星阁,气疗术,3,8
七星阁,枯木逢春,3,8
七星阁,螳螂捕蝉,3,8
七星阁,海底捞月,3,8
七星阁,,,
七星阁,星弈•飞,4,8
七星阁,星弈•虎,4,8
七星阁,六爻绝阵,4,8
七星阁,离卦,4,8
七星阁,星轨推衍,4,8
七星阁,蜻蜓点水,4,8
七星阁,轰雷掣电,4,8
七星阁,反震心法,4,8
七星阁,金蝉脱壳,4,8
七星阁,杯弓蛇影,4,8
七星阁,,,
七星阁,,,
七星阁,天元心法,5,6
七星阁,星弈•断,5,6
七星阁,乾卦,5,6
七星阁,五雷轰顶,5,6
七星阁,梅开二度,5,6
七星阁,气吞山河,5,6
七星阁,黄雀在后,5,6
七星阁,紫气东来,5,6
七星阁,,,
七星阁,,,
七星阁,,,
七星阁,,,
五行道盟,木灵印,1,8
五行道盟,木灵•芽,1,8
五行道盟,火灵印,1,8
五行道盟,火灵•窜,1,8
五行道盟,土灵印,1,8
五行道盟,土灵•碎,1,8
五行道盟,金灵印,1,8
五行道盟,金灵•针,1,8
五行道盟,水灵印,1,8
五行道盟,水灵•涛,1,8
五行道盟,五行刺,1,8
五行道盟,木灵•复苏,2,8
五行道盟,木灵•疏影,2,8
五行道盟,火灵•聚炎,2,8
五行道盟,火灵•赤焰,2,8
五行道盟,土灵阵,2,8
五行道盟,土灵•群山,2,8
五行道盟,金灵阵,2,8
五行道盟,金灵•穿心,2,8
五行道盟,水灵•波澜,2,8
五行道盟,水灵•汹涌,2,8
五行道盟,浑天印,2,8
五行道盟,,,
五行道盟,木灵阵,3,8
五行道盟,木灵•巡林,3,8
五行道盟,火灵阵,3,8
五行道盟,火灵•轰爆,3,8
五行道盟,土灵•扬尘,3,8
五行道盟,土灵•断崖,3,8
五行道盟,金灵•蓄锐,3,8
五行道盟,金灵•锋芒,3,8
五行道盟,水灵阵,3,8
五行道盟,水灵•泉涌,3,8
五行道盟,五行流转,3,8
五行道盟,,,
五行道盟,木灵•暗香,4,8
五行道盟,木灵•枚刺,4,8
五行道盟,火灵•瞬燃,4,8
五行道盟,火灵•灼心,4,8
五行道盟,土灵•绝壁,4,8
五行道盟,土灵•流沙,4,8
五行道盟,金灵•飞梭,4,8
五行道盟,金灵•铁骨,4,8
五行道盟,水灵•腾浪,4,8
五行道盟,水灵•潜遁,4,8
五行道盟,混元碎击,4,8
五行道盟,,,
五行道盟,木灵•柳纷飞,4,6
五行道盟,火灵•烈燎原,4,6
五行道盟,土灵•合八荒,4,6
五行道盟,金灵•巨鼎落,4,6
五行道盟,水灵•纳百川,4,6
五行道盟,混元无极阵,4,6
五行道盟,五行天髓诀,4,6
五行道盟,,,
五行道盟,,,
五行道盟,,,
五行道盟,,,
五行道盟,,,
锻玄宗,崩拳•戳,1,8
锻玄宗,崩拳•封,1,8
锻玄宗,崩拳•弹,1,8
锻玄宗,锻拳,1,8
锻玄宗,劈山掌,1,8
锻玄宗,抱气法,1,8
锻玄宗,罗刹扑,1,8
锻玄宗,破空爪,1,8
锻玄宗,千斤坠,1,8
锻玄宗,起势,1,8
锻玄宗,朝气蓬勃,1,8
锻玄宗,血气方刚,1,8
锻玄宗,崩拳•撼,2,8
锻玄宗,崩拳•缠,2,8
锻玄宗,崩拳•突,2,8
锻玄宗,锻筋,2,8
锻玄宗,探马掌,2,8
锻玄宗,风冥爪,2,8
锻玄宗,夜鬼啸,2,8
锻玄宗,岿然不动,2,8
锻玄宗,势大力沉,2,8
锻玄宗,气沉丹田,2,8
锻玄宗,浩然正气,2,8
锻玄宗,,,
锻玄宗,崩天步,3,8
锻玄宗,崩拳•截脉,3,8
锻玄宗,崩拳•降龙,3,8
锻玄宗,锻骨,3,8
锻玄宗,荷重前行,3,8
锻玄宗,迎风掌,3,8
锻玄宗,饿虎扑食,3,8
锻玄宗,双鬼拍门,3,8
锻玄宗,气若悬河,3,8
锻玄宗,踏破九霄,3,8
锻玄宗,势如破竹,3,8
锻玄宗,,,
